epoch,mode_dist,step,train_loss,val_ade,val_fde,val_nll,val_tv_ade,val_tv_fde
0,45.958106994628906,48,,2.8775532245635986,7.489101886749268,212.29776000976562,4.294582366943359,11.518548965454102
0,,48,74.5565185546875,,,,,
1,101.4379653930664,97,,2.5075619220733643,6.459460258483887,170.15475463867188,3.9866011142730713,10.685922622680664
1,,97,49.53339385986328,,,,,
2,132.73500061035156,146,,2.354562282562256,6.064216136932373,146.6981201171875,3.803590774536133,10.189326286315918
2,,146,52.302852630615234,,,,,
3,127.39971160888672,195,,2.171067953109741,5.559725761413574,132.2078094482422,3.5830180644989014,9.578865051269531
3,,195,53.149497985839844,,,,,
4,149.51129150390625,244,,2.0794551372528076,5.328711032867432,118.84024810791016,3.4305813312530518,9.159868240356445
4,,244,48.81226348876953,,,,,
5,157.59446716308594,293,,2.022219657897949,5.195165634155273,110.04973602294922,3.33319354057312,8.906878471374512
5,,293,44.6708984375,,,,,
6,147.7195281982422,342,,1.9533227682113647,5.009670734405518,103.81690979003906,3.213122606277466,8.579188346862793
6,,342,45.36760711669922,,,,,
7,184.22337341308594,391,,1.968108057975769,5.074938774108887,96.47722625732422,3.170844554901123,8.482566833496094
7,,391,42.58049774169922,,,,,
8,201.5170135498047,440,,1.9289430379867554,4.977171421051025,92.01667785644531,3.0941505432128906,8.29917049407959
8,,440,37.143497467041016,,,,,
9,212.3189239501953,489,,1.8881044387817383,4.868037223815918,88.59708404541016,3.0149266719818115,8.117000579833984
9,,489,39.19501495361328,,,,,
10,254.36654663085938,538,,1.9371856451034546,5.027398586273193,84.54835510253906,3.0418076515197754,8.250070571899414
10,,538,31.237119674682617,,,,,
11,265.3757629394531,587,,1.924912691116333,5.000086307525635,82.64613342285156,3.028111219406128,8.2416353225708
11,,587,32.90650177001953,,,,,
12,271.7760314941406,636,,1.9062494039535522,4.956596374511719,81.25898742675781,3.018115758895874,8.227932929992676
12,,636,27.47768783569336,,,,,
13,326.20294189453125,685,,1.9918029308319092,5.216650009155273,77.62113952636719,3.0703322887420654,8.409307479858398
13,,685,27.641691207885742,,,,,
14,352.47857666015625,734,,2.037907123565674,5.356810092926025,75.17474365234375,3.1167640686035156,8.543524742126465
14,,734,21.399524688720703,,,,,
15,381.41009521484375,783,,2.1047708988189697,5.544929504394531,72.89541625976562,3.1578550338745117,8.650293350219727
15,,783,26.24004554748535,,,,,
16,459.73480224609375,832,,2.2576382160186768,6.00009822845459,68.97410583496094,3.2875471115112305,9.040145874023438
16,,832,22.561506271362305,,,,,
17,490.5404357910156,881,,2.324031352996826,6.195005416870117,66.7161865234375,3.3471758365631104,9.197373390197754
17,,881,18.60343360900879,,,,,
18,501.2632141113281,930,,2.3406498432159424,6.247573375701904,65.58436584472656,3.3756089210510254,9.276620864868164
18,,930,16.516069412231445,,,,,
19,570.1969604492188,979,,2.521195888519287,6.767414093017578,64.51212310791016,3.469722032546997,9.542835235595703
19,,979,14.500508308410645,,,,,
20,579.170654296875,1028,,2.4924263954162598,6.669060707092285,62.75439453125,3.471623182296753,9.515665054321289
20,,1028,14.100983619689941,,,,,
21,587.2094116210938,1077,,2.541038990020752,6.8013691902160645,61.94131088256836,3.520085096359253,9.647750854492188
21,,1077,13.613146781921387,,,,,
22,606.780517578125,1126,,2.6058075428009033,6.983418941497803,61.35255813598633,3.550713300704956,9.752898216247559
22,,1126,13.046123504638672,,,,,
23,611.9113159179688,1175,,2.6483733654022217,7.093992710113525,60.76187515258789,3.5994598865509033,9.864295959472656
23,,1175,14.617424011230469,,,,,
24,617.6278686523438,1224,,2.661581039428711,7.113434791564941,60.18769836425781,3.5598063468933105,9.70266342163086
24,,1224,11.047794342041016,,,,,
25,617.1288452148438,1273,,2.6533126831054688,7.097096920013428,59.337371826171875,3.5586352348327637,9.713530540466309
25,,1273,12.940144538879395,,,,,
26,533.0277099609375,1322,,1.7056670188903809,4.36199426651001,47.760719299316406,2.951594114303589,7.943860054016113
26,,1322,12.628094673156738,,,,,
27,545.0143432617188,1371,,1.6641221046447754,4.269145965576172,40.91288375854492,2.9391822814941406,7.933928489685059
27,,1371,13.994844436645508,,,,,
28,547.6064453125,1420,,1.634946584701538,4.188544750213623,37.56210708618164,2.889164924621582,7.792387962341309
28,,1420,12.763334274291992,,,,,
29,559.7200927734375,1469,,1.5893564224243164,4.068996906280518,34.73318099975586,2.783416748046875,7.51821231842041
29,,1469,14.349693298339844,,,,,
30,550.940185546875,1518,,1.5190354585647583,3.8826382160186768,32.34633255004883,2.631565809249878,7.124758243560791
30,,1518,14.8443603515625,,,,,
31,562.0180053710938,1567,,1.4679380655288696,3.7579848766326904,30.690937042236328,2.547206401824951,6.939801216125488
31,,1567,11.19692325592041,,,,,
32,575.396240234375,1616,,1.4233278036117554,3.643028497695923,29.13827133178711,2.4481630325317383,6.6947503089904785
32,,1616,7.383561611175537,,,,,
33,579.216064453125,1665,,1.395840048789978,3.59515380859375,27.91851234436035,2.403993844985962,6.596400737762451
33,,1665,4.188681125640869,,,,,
34,584.1678466796875,1714,,1.36246919631958,3.522498607635498,26.557340621948242,2.32743501663208,6.428863048553467
34,,1714,4.576008319854736,,,,,
35,587.6992797851562,1763,,1.3390653133392334,3.473231792449951,25.47420310974121,2.2800490856170654,6.326715469360352
35,,1763,7.605079650878906,,,,,
36,586.714599609375,1812,,1.3212311267852783,3.442904233932495,24.455829620361328,2.2470779418945312,6.283312797546387
36,,1812,8.537919998168945,,,,,
37,592.3637084960938,1861,,1.3103631734848022,3.430570363998413,23.9215145111084,2.24182391166687,6.292355060577393
37,,1861,4.344613075256348,,,,,
38,598.3494873046875,1910,,1.2924176454544067,3.3885233402252197,22.956050872802734,2.1948416233062744,6.189697742462158
38,,1910,-0.393015056848526,,,,,
39,593.2609252929688,1959,,1.28101646900177,3.3581204414367676,22.301395416259766,2.1905784606933594,6.170910358428955
39,,1959,-5.608911991119385,,,,,
40,605.7892456054688,2008,,1.2777323722839355,3.36242413520813,21.78158950805664,2.1699395179748535,6.128383636474609
40,,2008,-3.5193498134613037,,,,,
41,600.4541625976562,2057,,1.2686083316802979,3.351565361022949,20.987668991088867,2.147097110748291,6.094973087310791
41,,2057,-1.2067073583602905,,,,,
42,606.2325439453125,2106,,1.259279489517212,3.3253681659698486,20.250743865966797,2.1148483753204346,6.008633136749268
42,,2106,0.21166308224201202,,,,,
43,605.8538818359375,2155,,1.2515289783477783,3.3090529441833496,19.9229736328125,2.1106061935424805,6.014281272888184
43,,2155,-6.96508264541626,,,,,
44,609.0232543945312,2204,,1.2429327964782715,3.2931981086730957,19.24225616455078,2.08935284614563,5.978426456451416
44,,2204,-11.580724716186523,,,,,
45,599.8108520507812,2253,,1.2398662567138672,3.28851318359375,18.865894317626953,2.074676752090454,5.94972562789917
45,,2253,-4.30355978012085,,,,,
46,603.1848754882812,2302,,1.2318601608276367,3.271892786026001,18.306291580200195,2.061702013015747,5.918137550354004
46,,2302,-9.0719575881958,,,,,
47,604.4880981445312,2351,,1.2214794158935547,3.2504804134368896,17.62841033935547,2.0402164459228516,5.877325534820557
47,,2351,-12.622060775756836,,,,,
48,607.4415893554688,2400,,1.2111362218856812,3.2291059494018555,17.350852966308594,2.028975486755371,5.852351665496826
48,,2400,-10.803970336914062,,,,,
49,603.1590576171875,2449,,1.2044837474822998,3.2186412811279297,16.684547424316406,2.009953022003174,5.818358898162842
49,,2449,-10.94811725616455,,,,,
50,601.5779418945312,2498,,1.19742751121521,3.2026612758636475,16.19731330871582,2.0028364658355713,5.807032108306885
50,,2498,-14.426403999328613,,,,,
51,608.6461181640625,2547,,1.197079062461853,3.2072391510009766,15.89185905456543,1.9873690605163574,5.783504962921143
51,,2547,-11.482440948486328,,,,,
52,609.4498901367188,2596,,1.1856303215026855,3.181037425994873,15.111557006835938,1.9825313091278076,5.7621169090271
52,,2596,-13.881973266601562,,,,,
53,617.0489501953125,2645,,1.1827689409255981,3.1783361434936523,14.934146881103516,1.9720697402954102,5.739429473876953
53,,2645,-16.49158477783203,,,,,
54,601.50341796875,2694,,1.174762487411499,3.159508228302002,14.359210968017578,1.948351502418518,5.674947738647461
54,,2694,-11.592483520507812,,,,,
55,597.2547607421875,2743,,1.1696436405181885,3.148991107940674,13.963598251342773,1.938853144645691,5.669131278991699
55,,2743,-12.247180938720703,,,,,
56,587.2130737304688,2792,,1.1654192209243774,3.1416165828704834,13.483137130737305,1.9144102334976196,5.608851909637451
56,,2792,-22.171184539794922,,,,,
57,590.5795288085938,2841,,1.1615020036697388,3.134608030319214,13.071975708007812,1.9104701280593872,5.6108598709106445
57,,2841,-21.94767189025879,,,,,
58,583.1781005859375,2890,,1.1578174829483032,3.1248486042022705,13.058838844299316,1.9129807949066162,5.626394271850586
58,,2890,-15.774380683898926,,,,,
